Generating complex tone: 
237.655546749	0.180934472866
475.311093498	0.112553146643
712.966640247	0.00817767460384
950.622186997	0.154111480545
1188.27773375	0.0414992632253
1425.93328049	0.0375321908166
1663.58882724	0.192191646501
1901.24437399	0.00770045026637
2138.89992074	0.0386603040061
2376.55546749	0.226639370527


Turnaround	Frequency	Step Size
0	100	512
1	612	-256
2	100	128
3	356	-64
4	228	32
5	260	-16
6	228	8
7	244	-4
8	236	2
9	238	-1
Final frequency: 237
