Generating complex tone: 
1927.49573994	0.0
3854.99147987	0.173494180689
5782.48721981	0.0166743943086
7709.98295975	0.168058998804
9637.47869969	0.0638553814468
11564.9744396	0.136704516277
13492.4701796	0.0183170004571
15419.9659195	0.0859901697333
17347.4616594	0.139433297629
19274.9573994	0.197472060655


Turnaround	Frequency	Step Size
0	100	512
1	4196	-256
2	3684	128
3	3940	-64
4	3876	32
5	3908	-16
6	3844	8
7	3876	-4
8	3872	2
9	3874	-1
Final frequency: 3872
