Generating complex tone: 
899.21904816	0.0
1798.43809632	0.120103685997
2697.65714448	0.171759008533
3596.87619264	0.0628103773332
4496.0952408	0.215333948728
5395.31428896	0.178091533793
6294.53333712	0.165563353189
7193.75238528	0.0517917140007
8092.97143344	0.0270938302969
8992.1904816	0.00745254812872


Turnaround	Frequency	Step Size
0	100	512
1	1124	-256
2	868	128
3	996	-64
4	932	32
5	964	-16
6	900	8
7	908	-4
8	904	2
9	908	-1
Final frequency: 906
