Generating complex tone: 
975.256686496	0.0581319844765
1950.51337299	0.198931712437
2925.77005949	0.129081837053
3901.02674598	0.0987874713154
4876.28343248	0.142740146082
5851.54011897	0.0729134805986
6826.79680547	0.0392742751981
7802.05349197	0.193470609692
8777.31017846	0.188644163907
9752.56686496	-0.121975680759


Turnaround	Frequency	Step Size
0	2000	-512
1	976	256
2	1232	-128
3	976	64
4	1168	-32
5	1008	16
6	1040	-8
7	1024	4
8	1028	-2
9	1024	1
Final frequency: 1025
