Generating complex tone: 
473.360579714	0.0
946.721159428	0.148659957444
1420.08173914	0.138558683449
1893.44231886	0.127194590818
2366.80289857	0.0754586356921
2840.16347828	0.194677490105
3313.524058	0.147435489345
3786.88463771	0.0969073177966
4260.24521743	0.181451921134
4733.60579714	-0.110344085784


Turnaround	Frequency	Step Size
0	100	512
1	612	-256
2	356	128
3	612	-64
4	548	32
5	612	-16
6	516	8
7	532	-4
8	480	2
9	482	-1
Final frequency: 481
