Generating complex tone: 
204.351514057	0.0858903781757
408.703028115	0.0902859300607
613.054542172	0.00756422412571
817.40605623	0.0801575554306
1021.75757029	0.0961287614169
1226.10908434	0.120088315215
1430.4605984	0.109745487528
1634.81211246	0.0299796410487
1839.16362652	0.0371063346871
2043.51514057	0.343053372312


Turnaround	Frequency	Step Size
0	100	512
1	612	-256
2	100	128
3	356	-64
4	100	32
5	228	-16
6	212	8
7	220	-4
8	208	2
9	212	-1
Final frequency: 210
