Generating complex tone: 
1284.30695922	0.0920821634352
2568.61391844	0.0308827092532
3852.92087766	0.0177006589184
5137.22783687	0.0329649248733
6421.53479609	0.196106017803
7705.84175531	0.17457297257
8990.14871453	0.189196788467
10274.4556737	0.110579841844
11558.762633	0.0164603437596
12843.0695922	0.139453579076


Turnaround	Frequency	Step Size
0	2000	-512
1	976	256
2	1488	-128
3	1232	64
4	1296	-32
5	1264	16
6	1296	-8
7	1288	4
8	1300	-2
9	1294	1
Final frequency: 1295
