Generating complex tone: 
1241.8970382	0.0
2483.7940764	0.156267024852
3725.69111461	0.0237123784943
4967.58815281	0.185741013376
6209.48519101	0.0535125953766
7451.38222921	0.0773401892082
8693.27926741	0.0488429282882
9935.17630562	0.093418407513
11177.0733438	0.057924727842
12418.970382	0.30324073505


Turnaround	Frequency	Step Size
0	100	512
1	2660	-256
2	2404	128
3	2532	-64
4	2404	32
5	2532	-16
6	2468	8
7	2492	-4
8	2488	2
9	2490	-1
Final frequency: 2489
