Generating complex tone: 
1229.00907831	0.0
2458.01815663	0.174339214545
3687.02723494	0.047328539227
4916.03631325	0.170857723335
6145.04539157	0.0352155425984
7374.05446988	0.0715835803485
8603.06354819	0.0203052391469
9832.0726265	0.155004409419
11061.0817048	0.0402493650536
12290.0907831	0.285116386327


Turnaround	Frequency	Step Size
0	100	512
1	2660	-256
2	2404	128
3	2532	-64
4	2468	32
5	2532	-16
6	2452	8
7	2460	-4
8	2456	2
9	2462	-1
Final frequency: 2460
