Generating complex tone: 
863.765104305	0.148884662686
1727.53020861	0.00802771898444
2591.29531291	0.0123984399064
3455.06041722	0.0667611159123
4318.82552152	0.160689180468
5182.59062583	0.146346159414
6046.35573013	0.109629593855
6910.12083444	0.139732633319
7773.88593874	0.070741454158
8637.65104305	0.136789041298


Turnaround	Frequency	Step Size
0	100	512
1	1124	-256
2	612	128
3	996	-64
4	868	32
5	900	-16
6	868	8
7	876	-4
8	860	2
9	862	-1
Final frequency: 861
