Generating complex tone: 
1295.39037112	0.0
2590.78074224	0.0753329519548
3886.17111336	0.10301949436
5181.56148448	0.0863108250219
6476.9518556	0.117260392034
7772.34222673	0.00965190417782
9067.73259785	0.216698774293
10363.122969	0.0322843958624
11658.5133401	0.0278976508944
12953.9037112	0.331543611403


Turnaround	Frequency	Step Size
0	100	512
1	1636	-256
2	1124	128
3	1380	-64
4	1316	32
5	1348	-16
6	1316	8
7	1332	-4
8	1324	2
9	1326	-1
Final frequency: 1325
