Generating complex tone: 
182.925420925	0.100795469269
365.850841851	0.165649600262
548.776262776	0.135659837442
731.701683701	0.0612549731287
914.627104627	0.0174986959911
1097.55252555	0.16330666867
1280.47794648	0.0413189729899
1463.4033674	0.139953084039
1646.32878833	0.0142437152796
1829.25420925	0.160318982928


Turnaround	Frequency	Step Size
0	100	512
1	612	-256
2	356	128
3	484	-64
4	356	32
5	388	-16
6	356	8
7	372	-4
8	364	2
9	368	-1
Final frequency: 367
