Generating complex tone: 
1680.98145775	0.0
3361.96291549	0.20057888227
5042.94437324	0.123411937478
6723.92583098	0.102156556595
8404.90728873	0.144587269182
10085.8887465	0.0208552804476
11766.8702042	0.0499996994766
13447.851662	0.122039110469
15128.8331197	0.0930315175668
16809.8145775	0.143339746516


Turnaround	Frequency	Step Size
0	100	512
1	2148	-256
2	1636	128
3	1764	-64
4	1700	32
5	1796	-16
6	1764	8
7	1780	-4
8	1772	2
9	1784	-1
Final frequency: 1783
