Generating complex tone: 
1104.03493402	0.186820639318
2208.06986805	0.0696441803416
3312.10480207	0.139218297781
4416.13973609	0.128290706476
5520.17467012	0.00583720180897
6624.20960414	0.0241631757516
7728.24453816	0.10603901593
8832.27947219	0.0115948403219
9936.31440621	0.168272291733
11040.3493402	0.160119650537


Turnaround	Frequency	Step Size
0	100	512
1	1636	-256
2	868	128
3	1124	-64
4	1060	32
5	1156	-16
6	1108	8
7	1116	-4
8	1112	2
9	1114	-1
Final frequency: 1113
