Generating complex tone: 
247.022983306	0.0
494.045966612	0.0424737504959
741.068949918	0.105280619021
988.091933224	0.00686001910312
1235.11491653	0.192164159855
1482.13789984	0.0498500670922
1729.16088314	0.0258276856595
1976.18386645	0.120577027127
2223.20684975	0.160717439421
2470.22983306	0.296249232225


Turnaround	Frequency	Step Size
0	100	512
1	612	-256
2	100	128
3	356	-64
4	228	32
5	260	-16
6	244	8
7	252	-4
8	244	2
9	246	-1
Final frequency: 245
